id,neg,neu,pos,compound,polarity,subjectivity,flair_sentiment,Happy,Angry,Surprise,Sad,Fear
834,0.087,0.798,0.115,0.9212,0.5071428571428571,0.3857142857142858,0.11531680822372437,0.1,0.02,0.24,0.2,0.43
722,0.085,0.689,0.226,0.9972,0.6216961978589886,0.5300849021779256,0.2077530324459076,0.24,0.03,0.27,0.25,0.2
531,0.137,0.584,0.279,0.9985,0.5760945319455958,0.6735938411470326,0.988520473241806,0.12,0.04,0.15,0.41,0.28
492,0.068,0.801,0.131,0.9818,0.5598214285714286,0.39821428571428574,0.9619240462779999,0.18,0.16,0.22,0.24,0.18
468,0.089,0.841,0.07,-0.2937,0.49185125060125057,0.4913876863876865,0.9730667471885681,0.08,0.37,0.1,0.14,0.31
28,0.184,0.726,0.09,-0.9735,0.44184027777777773,0.6767361111111109,0.002620607614517212,0.05,0.05,0.38,0.36,0.17
921,0.006,0.637,0.357,0.9995,0.3416666666666667,0.7733333333333333,0.9804240763187408,0.04,0.05,0.41,0.39,0.11
210,0.101,0.684,0.215,0.9953,0.7284336121836121,0.5293135993135993,0.9973832368850708,0.19,0.34,0.15,0.23,0.09
69,0.043,0.842,0.115,0.9808,0.5952266483516483,0.4572802197802198,0.9931698441505432,0.1,0.18,0.37,0.19,0.16
242,0.056,0.879,0.064,0.5916,0.5660839160839161,0.34230769230769226,0.08772280812263489,0.11,0.27,0.18,0.3,0.14
855,0.085,0.774,0.141,0.9498,0.33444444444444443,0.5977777777777779,0.9981850981712341,0.07,0.0,0.27,0.03,0.63
884,0.054,0.643,0.303,0.994,0.6053165584415584,0.4074675324675324,0.959549069404602,0.16,0.0,0.58,0.26,0.0
414,0.105,0.667,0.228,0.9894,0.5932539682539683,0.5896825396825398,0.9987195730209351,0.03,0.07,0.03,0.76,0.1
172,0.1,0.787,0.114,0.0866,0.5247822299651568,0.5220673635307782,0.0016995072364807129,0.06,0.16,0.33,0.25,0.2
772,0.018,0.794,0.188,0.9916,0.6056547619047619,0.5111111111111112,0.9941516518592834,0.21,0.06,0.21,0.21,0.3
59,0.091,0.74,0.168,0.9896,0.5663341416813639,0.3649728101116991,0.04195517301559448,0.19,0.02,0.43,0.15,0.21
451,0.073,0.766,0.161,0.9945,0.6758765938069216,0.5386156648451734,0.9989498257637024,0.5,0.06,0.06,0.29,0.1
253,0.096,0.71,0.195,0.9961,0.6004213184476342,0.5544072301967041,0.007902950048446655,0.24,0.21,0.17,0.15,0.23
732,0.05,0.94,0.01,-0.8555,0.4583333333333333,0.21666666666666667,0.059837907552719116,0.0,0.0,0.0,0.0,1.0
334,0.042,0.776,0.182,0.9947,0.657355816226784,0.6521505376344086,0.9873942136764526,0.34,0.26,0.09,0.17,0.15
929,0.066,0.758,0.176,0.9778,0.5557857142857143,0.753547619047619,0.8943355977535248,0.05,0.0,0.44,0.25,0.25
753,0.149,0.71,0.14,-0.4438,0.6857438016528925,0.5465909090909091,0.9998557865619659,0.11,0.0,0.21,0.34,0.34
25,0.123,0.667,0.21,0.9952,0.6879934210526315,0.7359649122807017,0.9856062531471252,0.25,0.02,0.22,0.35,0.15
32,0.114,0.804,0.081,-0.846,0.43459876543209874,0.45487654320987647,0.9999715089797974,0.11,0.04,0.07,0.33,0.44
